Fri May 22 11:51:10 UTC 2026 | CPU:30% | MEM:11% | DISK:24%
Fri May 22 11:54:02 UTC 2026 | CPU:0% | MEM:12% | DISK:24%
Fri May 22 11:55:02 UTC 2026 | CPU:21% | MEM:12% | DISK:24%
Fri May 22 11:56:02 UTC 2026 | CPU:0% | MEM:12% | DISK:24%
Fri May 22 11:57:01 UTC 2026 | CPU:15% | MEM:12% | DISK:24%
Fri May 22 11:58:02 UTC 2026 | CPU:26% | MEM:12% | DISK:24%
Fri May 22 11:59:02 UTC 2026 | CPU:26% | MEM:11% | DISK:24%
Fri May 22 12:00:02 UTC 2026 | CPU:67% | MEM:12% | DISK:24%
Fri May 22 12:01:02 UTC 2026 | CPU:4% | MEM:11% | DISK:24%
Fri May 22 12:02:01 UTC 2026 | CPU:20% | MEM:12% | DISK:24%
Fri May 22 12:03:02 UTC 2026 | CPU:0% | MEM:12% | DISK:24%
Fri May 22 12:04:02 UTC 2026 | CPU:5% | MEM:12% | DISK:24%
